Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Creation Date (product.metafields.custom.creation_date),Max Quantity (product.metafields.custom.max_quantity),Min Quantity (product.metafields.custom.min_quantity),Promo Text (product.metafields.custom.promo_text),Short description (product.metafields.custom.short_description),Staff Notes (product.metafields.custom.staff_notes),Step Quantity (product.metafields.custom.step_quantity),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Amplifier/Booster suitable location (product.metafields.shopify.amplifier-booster-suitable-location),Antenna type (product.metafields.shopify.antenna-type),Audio mixer type (product.metafields.shopify.audio-mixer-type),Battery features (product.metafields.shopify.battery-features),Battery size (product.metafields.shopify.battery-size),Battery technology (product.metafields.shopify.battery-technology),Battery type (product.metafields.shopify.battery-type),Card/Adapter installation (product.metafields.shopify.card-adapter-installation),Chassis type (product.metafields.shopify.chassis-type),Circuit breaker type (product.metafields.shopify.circuit-breaker-type),Color (product.metafields.shopify.color-pattern),Compatible battery technology (product.metafields.shopify.compatible-battery-technology),Compatible string instrument (product.metafields.shopify.compatible-string-instrument),Component package type (product.metafields.shopify.component-package-type),Computer form (product.metafields.shopify.computer-form),Connection type (product.metafields.shopify.connection-type),Connectivity technology (product.metafields.shopify.connectivity-technology),Control type (product.metafields.shopify.control-type),Controller design (product.metafields.shopify.controller-design),Cooling technology (product.metafields.shopify.cooling-technology),Data network (product.metafields.shopify.data-network),Device interface (product.metafields.shopify.device-interface),Dielectric type (product.metafields.shopify.dielectric-type),Digital sound processing (product.metafields.shopify.digital-sound-processing),Display technology (product.metafields.shopify.display-technology),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Frequency/Radio bands supported (product.metafields.shopify.frequency-radio-bands-supported),Hardware material (product.metafields.shopify.hardware-material),Instruction set architecture (product.metafields.shopify.instruction-set-architecture),Internal drive form factor supported (product.metafields.shopify.internal-drive-form-factor-supported),Item condition (product.metafields.shopify.item-condition),Lens configuration (product.metafields.shopify.lens-configuration),Light color (product.metafields.shopify.light-color),Light source (product.metafields.shopify.light-source),Lighting features (product.metafields.shopify.lighting-features),Magnification (product.metafields.shopify.magnification),Material (product.metafields.shopify.material),Maximum magnification (product.metafields.shopify.maximum-magnification),Memory form factor (product.metafields.shopify.memory-form-factor),Memory technology (product.metafields.shopify.memory-technology),Mounting type (product.metafields.shopify.mounting-type),Network cable interface (product.metafields.shopify.network-cable-interface),Office supply material (product.metafields.shopify.office-supply-material),Operating system (product.metafields.shopify.operating-system),Optical frame design (product.metafields.shopify.optical-frame-design),Pickup type (product.metafields.shopify.pickup-type),Power source (product.metafields.shopify.power-source),Processor cores (product.metafields.shopify.processor-cores),Processor family (product.metafields.shopify.processor-family),Processor socket (product.metafields.shopify.processor-socket),Recommended age group (product.metafields.shopify.recommended-age-group),Recommended use (product.metafields.shopify.recommended-use),Suitable space (product.metafields.shopify.suitable-space),Toothpick design (product.metafields.shopify.toothpick-design),Toy/Game material (product.metafields.shopify.toy-game-material),Trip type (product.metafields.shopify.trip-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Included / International,Price / International,Compare At Price / International,Status
1-piece-tt-motor-rubber-tires-dia-68mm-width-26mm-geared-tyre-for-diy-rc-cars-wheels-model-robot-tire-plastic-wheel-rim-hub,1 Piece Tt Motor Rubber Tires Dia 68mm Width 26mm Geared Tyre For Diy Rc Cars Wheels Model Robot Tire Plastic Wheel Rim Hub,"<p>TT Motor Rubber Tires Dia 68mm Width 26mm Geared Motor Tyre for DIY RC Cars Wheels Model Robot Tire Plastic Wheel Rim Hub Rubber Tire Skin </p>
<h2>Specification of 68mm RC car tire:</h2>
<ul>
<li>- Diameter:68mm </li>
<li>- Width:26mm </li>
<li>- Other size refer to below picture </li>
<li>- Weight:40g/pc </li>
</ul>
<h3 data-sourcepos=""5:1-5:25""><strong>Fuel Your Creativity:</strong></h3>
<ul data-sourcepos=""7:1-7:125"">
<li data-sourcepos=""7:1-7:125"">
<strong>Universal Fit:</strong> Compatible with a wide range of wheels with matching dimensions (ensure compatibility before purchase).</li>
<li data-sourcepos=""8:1-8:93"">
<strong>Durable Rubber Construction:</strong> Provides excellent traction and long-lasting performance.</li>
<li data-sourcepos=""9:1-9:62"">
<strong>Geared Design:</strong> (if applicable) Offers improved grip and control for RC car applications.</li>
<li data-sourcepos=""10:1-11:0"">
<strong>Plastic Wheel Rim &amp; Hub (Optional):</strong> Some variations might include the rim and hub for a complete wheel assembly.</li>
</ul>
<h2>Package include:</h2>
<ul>
<li>1 Piece Tire</li>
</ul>
<p> </p>
<p><img alt=""17977-"" src=""https://digilog.pk/cdn/shop/files/H9f3aa6274057438e88cc6ef8b90c84845.webp?v=1702879790"" data-original=""https://ae01.alicdn.com/kf/H9f3aa6274057438e88cc6ef8b90c84845.jpg"" loading=""lazy"" width=""341"" height=""341""><img alt=""17977--"" src=""https://digilog.pk/cdn/shop/files/H83c1d2c3c84f4c8bb2cae64ccf1bca807.webp?v=1702879778"" data-original=""https://ae01.alicdn.com/kf/H83c1d2c3c84f4c8bb2cae64ccf1bca807.jpg"" loading=""lazy"" width=""335"" height=""335""><img alt=""17977---"" src=""https://digilog.pk/cdn/shop/files/H1ea5a86b9443487eaaf3b7524cb3d8eaK.webp?v=1702879766"" data-original=""https://ae01.alicdn.com/kf/H1ea5a86b9443487eaaf3b7524cb3d8eaK.jpg"" loading=""lazy"" width=""336"" height=""336""><img alt=""17977----"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.11a4467aCRdhRk"" src=""https://digilog.pk/cdn/shop/files/H196f5f9945a44bdca19db152a50218c1c.webp?v=1702879754"" data-original=""https://ae01.alicdn.com/kf/H196f5f9945a44bdca19db152a50218c1c.jpg"" loading=""lazy"" width=""343"" height=""343""></p>",China,,"","inv ok, o 0.10",true,Title,Default Title,,,,,,,,b708,28.0,shopify,2479,continue,manual,100.00,,true,false,,https://cdn.shopify.com/s/files/1/0744/0764/1366/files/1_Piece_TT_Motor_Rubber_Tires_Dia_68mm_Width_26mm_Geared_Tyre_for_DIY_RC_Cars_Wheels_Model_Robot_Tire_Plastic_Wheel_Rim_Hub.webp?v=1723485793,1,1 Piece Tt Motor Rubber Tires Dia 68mm Width 26mm Geared,false,68mm RC car tire in Pakistan,68mm RC car tire Width 26mm Geared Motor Tyre for DIY RC Cars Wheels Model Robot Tire Plastic Wheel Rim Hub Rubber Tire Skin - 68mm - 26mm - Other size refer to below picture - 40g / Pc 1 Piece Tire.,,,,,,,,,,,,2022-05-23T15:42:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,65.00,true,,,true,,,active
1-piece-tt-motor-rubber-tires-dia-68mm-width-26mm-geared-tyre-for-diy-rc-cars-wheels-model-robot-tire-plastic-wheel-rim-hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/0764/1366/files/1_Piece_TT_Motor_Rubber_Tires_Dia_68mm_Width_26mm_Geared_Tyre_for_DIY_RC_Cars_Wheels_Model_Robot_Tire_Plastic_Wheel_Rim_Hub_3.webp?v=1723485796,2,1 Piece Tt Motor Rubber Tires Dia 68mm Width 26mm Geared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-piece-tt-motor-rubber-tires-dia-68mm-width-26mm-geared-tyre-for-diy-rc-cars-wheels-model-robot-tire-plastic-wheel-rim-hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/0764/1366/files/1_Piece_TT_Motor_Rubber_Tires_Dia_68mm_Width_26mm_Geared_Tyre_for_DIY_RC_Cars_Wheels_Model_Robot_Tire_Plastic_Wheel_Rim_Hub_tn0v-za.webp?v=1723485799,3,1 Piece Tt Motor Rubber Tires Dia 68mm Width 26mm Geared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-power-9-volts-9v-battery,High Power 9 Volts 9V Battery,"",Digilog Electronics,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,70.00,,true,false,,,,,false,,,,,,,,,,,,,,2022-05-24T14:55:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
9v-battery,6f22 9V Battery Heavy Duty Battery | Best Price In Pakistan,"<p data-sourcepos=""13:1-13:276"">The KENDAL 6F22 9V Heavy Duty Battery is a reliable and essential component for powering your toys, Arduino projects, and other 9V devices. This high-quality battery offers exceptional performance, durability, and longevity, making it an ideal choice for various applications.</p>
<p data-sourcepos=""15:1-15:17""><strong>Key Features:</strong></p>
<ul data-sourcepos=""17:1-22:0"">
<li data-sourcepos=""17:1-17:61"">
<strong>9V Voltage:</strong> Provides consistent power for your devices.</li>
<li data-sourcepos=""18:1-18:66"">
<strong>Heavy Duty Construction:</strong> Built to withstand demanding usage.</li>
<li data-sourcepos=""19:1-19:60"">
<strong>Long-Lasting Performance:</strong> Ensures extended usage time.</li>
<li data-sourcepos=""20:1-20:79"">
<strong>Consistent Voltage Output:</strong> Delivers reliable power for optimal operation.</li>
<li data-sourcepos=""21:1-22:0"">
<strong>Wide Compatibility:</strong> 6F22 9V Battery  Suitable for a variety of 9V devices.</li>
</ul>
<p data-sourcepos=""23:1-23:19""><strong>Specifications:</strong></p>
<ul data-sourcepos=""25:1-30:0"">
<li data-sourcepos=""25:1-25:22"">
<strong>Type:</strong> 9V battery</li>
<li data-sourcepos=""26:1-26:24"">
<strong>Model:</strong> KENDAL 6F22</li>
<li data-sourcepos=""27:1-27:17"">
<strong>Voltage:</strong> 9V</li>
</ul>
<p data-sourcepos=""31:1-31:14""><strong>Order Now:</strong></p>
<p><strong>Upgrade your devices with the KENDAL 6F22 9V Heavy Duty Battery. Experience the reliability and performance of this essential component </strong></p>",China,Uncategorized,"","9v, 9v battery, aaaa, battery, double charge, high power battery, inv ok, zb",true,Title,Default Title,,,,,,,,"B34,th50,L100,krt55",37.0,shopify,1449,continue,manual,120.00,,true,false,"",https://cdn.shopify.com/s/files/1/0744/0764/1366/files/KENDAL6F229VHeavyDutyBatteryBestPriceinPakistan.webp?v=1723485780,1,Kendal 6f22 9v Heavy Duty Battery | Best Price In Pakistan,false,"KENDAL 6F22 9V Battery Heavy Duty, Long-Lasting","KENDAL 6F22 9V Battery Power your toys, Arduino projects, and other 9V devices. Enjoy long-lasting performance. ORDER NOW!",,,,,,,,,,,,2022-05-25T11:37:10,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,30.00,true,,,true,,,active
9v-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/0764/1366/files/KENDAL6F229VHeavyDutyBatteryBestPriceinPakistan_7670c9dd-1058-4acb-91c8-03d1637618df.webp?v=1723485782,2,Kendal 6f22 9v Heavy Duty Battery | Best Price In Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9v-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/0764/1366/files/KENDAL6F229VHeavyDutyBatteryBestPriceinPakistan4.webp?v=1723485785,3,Kendal 6f22 9v Heavy Duty Battery | Best Price In Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9v-battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/0764/1366/files/KENDAL6F229VHeavyDutyBatteryBestPriceinPakistan3.webp?v=1723485788,4,Kendal 6f22 9v Heavy Duty Battery | Best Price In Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micro-air-pump,Micro Air Pump,"<ul data-spm-anchor-id=""a2g0o.detail.0.i10.77816e8fk5dvPT"">
	<li>Structure: Single-stage Pump</li>
	<li>Fuel: Electricity</li>
	<li>Power: Electric</li>
	<li>Pressure: Middle</li>
	<li>Standard or Nonstandard: Standard</li>
	<li>Application: Metering</li>
	<li>Theory: Axial Flow Pump</li>
	<li>Usage: Air Pump</li>
	<li>Model Number: CJAP27-AA24A2</li>
</ul>
",China,,"","24v, aaaa, air pump, inv ok, kh, pump",true,Title,Default Title,,,,,,,,"b791,krt09",71.0,shopify,0,deny,manual,250.00,,true,false,"",https://cdn.shopify.com/s/files/1/0744/0764/1366/files/pump_1_jpg.webp?v=1723485773,1,Micro Air Pump,false,micro air pump,Single - stage Pump Electricity Electric Middle Standard or Standard Metering Axial Flow Pump Air Pump Model CJAP27 - AA24A2.,,,,,,,,,,,,2022-05-26T12:07:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
micro-air-pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/0764/1366/files/pump_3_jpg.webp?v=1723485776,2,Micro Air Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
